Tier,Topic,Model,Dataset,Accuracy,ROC AUC,Positive Samples,Positive Ratio,Precision,Recall,F1 Score
tier 2,driving without a license,Decision Tree,Validation,0.9973670352817272,0.49973614775725594,4,0.00210637177461822,0.0,0.0,0.0
tier 2,theft of classified information,Decision Tree,Train,1.0,1.0,5,0.000881057268722467,1.0,1.0,1.0
tier 2,theft of classified information,Decision Tree,Validation,0.9973670352817272,0.4992092778070638,2,0.00105318588730911,0.0,0.0,0.0
tier 2,drug possession,Decision Tree,Train,0.9998237885462555,0.998546511627907,344,0.060616740088105726,1.0,0.997093023255814,0.9985443959243085
tier 2,drug possession,Decision Tree,Validation,0.9852553975776724,0.9399776661083192,108,0.05687203791469194,0.8571428571428571,0.8888888888888888,0.8727272727272727
tier 2,extortion,Decision Tree,Train,0.999295154185022,0.983781394112412,93,0.016387665198237887,0.989010989010989,0.967741935483871,0.9782608695652174
tier 2,extortion,Decision Tree,Validation,0.9957872564507636,0.9350909842845327,39,0.020537124802527645,0.918918918918919,0.8717948717948718,0.8947368421052632
tier 2,illegal mining,Decision Tree,Train,1.0,1.0,10,0.001762114537444934,1.0,1.0,1.0
tier 2,illegal mining,Decision Tree,Validation,0.9994734070563455,0.9997361477572559,4,0.00210637177461822,0.8,1.0,0.8888888888888888
tier 2,human smuggling,Decision Tree,Train,1.0,1.0,9,0.0015859030837004405,1.0,1.0,1.0
tier 2,human smuggling,Decision Tree,Validation,0.9973670352817272,0.8322784810126582,3,0.001579778830963665,0.3333333333333333,0.6666666666666666,0.4444444444444444
tier 2,embezzlement,Decision Tree,Train,1.0,1.0,133,0.02343612334801762,1.0,1.0,1.0
tier 2,embezzlement,Decision Tree,Validation,0.9863085834649815,0.8598627787307033,44,0.02317008952080042,0.6956521739130435,0.7272727272727273,0.7111111111111111
tier 2,financial fraud,Decision Tree,Train,0.9996475770925111,0.9989626556016598,964,0.16986784140969163,1.0,0.9979253112033195,0.9989615784008308
tier 2,financial fraud,Decision Tree,Validation,0.7956819378620327,0.8238279030977926,313,0.16482359136387573,0.4392220421393841,0.865814696485623,0.5827956989247312
tier 2,smuggling goods from the us into foreign countries,Decision Tree,Train,1.0,1.0,8,0.0014096916299559472,1.0,1.0,1.0
tier 2,smuggling goods from the us into foreign countries,Decision Tree,Validation,0.9989468141126909,0.75,4,0.00210637177461822,1.0,0.5,0.6666666666666666
